slug,full_slug
hku,HKU
nus,NUS
eth,ETH
ntu,NTU
hkust,HKUST
cuhk,CUHK
melbourne,Melbourne
tum,TUM
epfl,EPFL
sydney,Sydney
unsw,UNSW
psl,PSL
ip paris,IP Paris
anu,ANU
uva,UvA
tu delft,TU Delft
polyu,PolyU
cityu,CityU
monash,Monash
uq,UQ
tum,TUM
lmu,LMU
sorbonne,Sorbonne
paris-saclay,Paris-Saclay
suad,SUAD
ku leuven,KU Leuven
auckland,Auckland
uwa,UWA
adelaide,Adelaide
copenhagen,Copenhagen
heidelberg,Heidelberg
uzh,UZH
kth,KTH
utrecht,Utrecht
leiden,Leiden
tcd,TCD
uts,UTS
fu berlin,FU Berlin
humboldt,Humboldt
lund,Lund
uppsala,Uppsala
polimi,Polimi
barcelona,Barcelona
oslo,Oslo
erasmus,Erasmus
vu amsterdam,VU Amsterdam
groningen,Groningen
wur,WUR
kit,KIT
vienna,Vienna
bonn,Bonn
t眉bingen,Tübingen
paris cit茅,Paris Cité
ghent,Ghent
rwth aachen,RWTH Aachen
