category,city,residencyTier,sortOrder
欧洲,柏林,第1梯队,1
欧洲,波恩,第1梯队,1
欧洲,都柏林,第1梯队,1
欧洲,海德堡,第1梯队,1
欧洲,海尔布隆,第1梯队,1
欧洲,卡尔斯鲁厄,第1梯队,1
欧洲,慕尼黑,第1梯队,1
欧洲,图宾根,第1梯队,1
港新,香港,第1梯队,1
欧洲,亚琛,第1梯队,1
欧洲,阿姆斯特丹,第2梯队,2
欧洲,巴黎,第2梯队,2
欧洲,代尔夫特,第2梯队,2
欧洲,格罗宁根,第2梯队,2
欧洲,莱顿,第2梯队,2
欧洲,鹿特丹,第2梯队,2
欧洲,瓦赫宁根,第2梯队,2
欧洲,乌得勒支,第2梯队,2
大洋,阿德莱德,第3梯队,3
大洋,堪培拉,第3梯队,3
大洋,珀斯,第3梯队,3
大洋,奥克兰,第4梯队,4
欧洲,奥斯陆,第4梯队,4
欧洲,巴塞罗那,第4梯队,4
大洋,布里斯班,第4梯队,4
欧洲,根特,第4梯队,4
欧洲,隆德,第4梯队,4
欧洲,鲁汶,第4梯队,4
欧洲,米兰,第4梯队,4
大洋,墨尔本,第4梯队,4
欧洲,斯德哥尔摩,第4梯队,4
欧洲,维也纳,第4梯队,4
欧洲,乌普萨拉,第4梯队,4
大洋,悉尼,第4梯队,4
欧洲,哥本哈根,第5梯队,5
欧洲,洛桑,第5梯队,5
欧洲,苏黎世,第5梯队,5
港新,新加坡,第5梯队,5
中东,阿布扎比,第6梯队,6
